0,潔　世一,Textures/Chara/S__113319942
1,蜂楽　廻,Textures/Chara/S__113319944
2,千切　豹馬,Textures/Chara/S__113319953
3,雷市　陣互,Textures/Chara/S__113319967
4,我牙丸　吟,Textures/Chara/S__113319945
5,馬狼　照英,Textures/Chara/S__113319963
6,御影　怜王,Textures/Chara/S__113319946
7,凪　誠士郎,Textures/Chara/S__113319947
8,雪宮　剣優,Textures/Chara/S__113319948
9,国神　錬介,Textures/Chara/S__113319949
10,烏　旅人,Textures/Chara/S__113319950
11,乙夜　影汰,Textures/Chara/S__113319951
12,黒名　蘭世,Textures/Chara/S__113319952
13,オリヴァ・愛空,Textures/Chara/S__113319955
14,時光　青志,Textures/Chara/S__113319956
15,蟻生　十兵衛,Textures/Chara/S__113319957
16,士道　龍聖,Textures/Chara/S__113319958
17,絵心　甚八,Textures/Chara/S__113319959
18,帝襟　アンリ,Textures/Chara/S__113319960
19,アレクシス・ネス,Textures/Chara/S__113319961
20,ミヒャエル・カイザー,Textures/Chara/S__113319962
21,糸師　凛,Textures/Chara/S__113319964
22,糸師　冴,Textures/Chara/S__113319966
23,二子　一輝,Textures/Chara/S__113877001
24,氷織　羊,Textures/Chara/S__113877003
25,ドン・ロレンツォ,Textures/Chara/S__113877004
